timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1751089154069,1309,GET ALL SONG,200,,Test API nghe nhạc 1-268,text,true,,511,136,300,300,http://localhost:8081/api/v1/public/songs,1308,0,50
1751089154862,518,GET ALL SONG,200,,Test API nghe nhạc 1-191,text,true,,511,136,300,300,http://localhost:8081/api/v1/public/songs,518,0,0
1751089154875,506,GET ALL SONG,200,,Test API nghe nhạc 1-58,text,true,,511,136,300,300,http://localhost:8081/api/v1/public/songs,426,0,0
1751089154692,692,GET ALL SONG,200,,Test API nghe nhạc 1-99,text,true,,511,136,300,300,http://localhost:8081/api/v1/public/songs,685,0,0
1751089153950,1442,GET ALL SONG,200,,Test API nghe nhạc 1-51,text,true,,511,136,300,300,http://localhost:8081/api/v1/public/songs,1442,0,194
1751089154716,677,GET ALL SONG,200,,Test API nghe nhạc 1-63,text,true,,511,136,300,300,http://localhost:8081/api/v1/public/songs,677,0,0
1751089154073,1319,GET ALL SONG,200,,Test API nghe nhạc 1-79,text,true,,511,136,300,300,http://localhost:8081/api/v1/public/songs,1319,0,50
1751089153909,1487,GET ALL SONG,200,,Test API nghe nhạc 1-204,text,true,,511,136,300,300,http://localhost:8081/api/v1/public/songs,1472,0,270
1751089154709,700,GET ALL SONG,200,,Test API nghe nhạc 1-144,text,true,,511,136,300,300,http://localhost:8081/api/v1/public/songs,677,0,0
1751089155351,58,GET ALL SONG,200,,Test API nghe nhạc 1-294,text,true,,511,136,300,300,http://localhost:8081/api/v1/public/songs,58,0,0
1751089154066,1343,GET ALL SONG,200,,Test API nghe nhạc 1-42,text,true,,511,136,300,300,http://localhost:8081/api/v1/public/songs,1343,0,58
1751089154561,850,GET ALL SONG,200,,Test API nghe nhạc 1-270,text,true,,511,136,300,300,http://localhost:8081/api/v1/public/songs,850,0,0
1751089153911,1504,GET ALL SONG,200,,Test API nghe nhạc 1-88,text,true,,511,136,300,300,http://localhost:8081/api/v1/public/songs,1501,0,215
1751089154888,542,GET ALL SONG,200,,Test API nghe nhạc 1-271,text,true,,511,136,300,300,http://localhost:8081/api/v1/public/songs,541,0,0
1751089154044,1384,GET ALL SONG,200,,Test API nghe nhạc 1-174,text,true,,511,136,300,300,http://localhost:8081/api/v1/public/songs,1384,0,104
1751089154075,1357,GET ALL SONG,200,,Test API nghe nhạc 1-34,text,true,,511,136,300,300,http://localhost:8081/api/v1/public/songs,1347,0,45
1751089154075,1363,GET ALL SONG,200,,Test API nghe nhạc 1-172,text,true,,511,136,300,300,http://localhost:8081/api/v1/public/songs,1310,0,52
1751089154120,1318,GET ALL SONG,200,,Test API nghe nhạc 1-188,text,true,,511,136,300,300,http://localhost:8081/api/v1/public/songs,1312,0,1
1751089154581,858,GET ALL SONG,200,,Test API nghe nhạc 1-110,text,true,,511,136,300,300,http://localhost:8081/api/v1/public/songs,736,0,0
1751089153950,1489,GET ALL SONG,200,,Test API nghe nhạc 1-23,text,true,,511,136,300,300,http://localhost:8081/api/v1/public/songs,1489,0,199
1751089154041,1401,GET ALL SONG,200,,Test API nghe nhạc 1-102,text,true,,511,136,300,300,http://localhost:8081/api/v1/public/songs,1397,0,112
1751089153905,1547,GET ALL SONG,200,,Test API nghe nhạc 1-56,text,true,,511,136,300,300,http://localhost:8081/api/v1/public/songs,1546,0,279
1751089153929,1533,GET ALL SONG,200,,Test API nghe nhạc 1-89,text,true,,511,136,300,300,http://localhost:8081/api/v1/public/songs,1517,0,221
1751089154085,1385,GET ALL SONG,200,,Test API nghe nhạc 1-226,text,true,,511,136,300,300,http://localhost:8081/api/v1/public/songs,1379,0,39
1751089153896,1574,GET ALL SONG,200,,Test API nghe nhạc 1-17,text,true,,511,136,300,300,http://localhost:8081/api/v1/public/songs,1574,0,258
1751089153888,1587,GET ALL SONG,200,,Test API nghe nhạc 1-43,text,true,,511,136,300,300,http://localhost:8081/api/v1/public/songs,1587,0,269
1751089154114,1361,GET ALL SONG,200,,Test API nghe nhạc 1-148,text,true,,511,136,300,300,http://localhost:8081/api/v1/public/songs,1361,0,0
1751089154067,1408,GET ALL SONG,200,,Test API nghe nhạc 1-221,text,true,,511,136,300,300,http://localhost:8081/api/v1/public/songs,1408,0,56
1751089154569,914,GET ALL SONG,200,,Test API nghe nhạc 1-286,text,true,,511,136,300,300,http://localhost:8081/api/v1/public/songs,914,0,0
1751089153926,1574,GET ALL SONG,200,,Test API nghe nhạc 1-114,text,true,,511,136,300,300,http://localhost:8081/api/v1/public/songs,1571,0,239
1751089153907,1593,GET ALL SONG,200,,Test API nghe nhạc 1-115,text,true,,511,136,300,300,http://localhost:8081/api/v1/public/songs,1593,0,272
1751089154063,1438,GET ALL SONG,200,,Test API nghe nhạc 1-166,text,true,,511,136,300,300,http://localhost:8081/api/v1/public/songs,1432,0,74
1751089153926,1580,GET ALL SONG,200,,Test API nghe nhạc 1-171,text,true,,511,136,300,300,http://localhost:8081/api/v1/public/songs,1575,0,227
1751089153893,1613,GET ALL SONG,200,,Test API nghe nhạc 1-45,text,true,,511,136,300,300,http://localhost:8081/api/v1/public/songs,1613,0,262
1751089154066,1440,GET ALL SONG,200,,Test API nghe nhạc 1-98,text,true,,511,136,300,300,http://localhost:8081/api/v1/public/songs,1440,0,58
1751089154511,996,GET ALL SONG,200,,Test API nghe nhạc 1-246,text,true,,511,136,300,300,http://localhost:8081/api/v1/public/songs,996,0,0
1751089154745,763,GET ALL SONG,200,,Test API nghe nhạc 1-111,text,true,,511,136,300,300,http://localhost:8081/api/v1/public/songs,763,0,0
1751089154064,1443,GET ALL SONG,200,,Test API nghe nhạc 1-134,text,true,,511,136,300,300,http://localhost:8081/api/v1/public/songs,1435,0,71
1751089155363,153,GET ALL SONG,200,,Test API nghe nhạc 1-273,text,true,,511,136,300,300,http://localhost:8081/api/v1/public/songs,145,0,0
1751089153923,1593,GET ALL SONG,200,,Test API nghe nhạc 1-126,text,true,,511,136,300,300,http://localhost:8081/api/v1/public/songs,1592,0,198
1751089153908,1609,GET ALL SONG,200,,Test API nghe nhạc 1-73,text,true,,511,136,300,300,http://localhost:8081/api/v1/public/songs,1609,0,271
1751089155385,134,GET ALL SONG,200,,Test API nghe nhạc 1-99,text,true,,511,136,300,300,http://localhost:8081/api/v1/public/songs,58,0,0
1751089153905,1614,GET ALL SONG,200,,Test API nghe nhạc 1-69,text,true,,511,136,300,300,http://localhost:8081/api/v1/public/songs,1600,0,278
1751089153949,1583,GET ALL SONG,200,,Test API nghe nhạc 1-22,text,true,,511,136,300,300,http://localhost:8081/api/v1/public/songs,1583,0,192
1751089153928,1604,GET ALL SONG,200,,Test API nghe nhạc 1-230,text,true,,511,136,300,300,http://localhost:8081/api/v1/public/songs,1604,0,215
1751089154707,827,GET ALL SONG,200,,Test API nghe nhạc 1-193,text,true,,511,136,300,300,http://localhost:8081/api/v1/public/songs,827,0,0
